iter	Passed	Remaining
0	7	7243
1	20	10040
2	34	11337
3	40	10164
4	53	10679
5	66	10954
6	72	10321
7	81	10112
8	88	9725
9	99	9851
10	105	9478
11	113	9307
12	117	8925
13	127	8999
14	133	8764
15	143	8840
16	150	8694
17	160	8765
18	167	8637
19	177	8701
20	184	8585
21	194	8633
22	201	8556
23	209	8531
24	216	8438
25	226	8485
26	233	8396
27	243	8454
28	250	8377
29	260	8418
30	267	8362
31	277	8386
32	287	8439
33	295	8389
34	302	8327
35	309	8296
36	316	8242
37	326	8257
38	332	8202
39	342	8222
40	349	8165
41	358	8178
42	365	8128
43	374	8141
44	381	8089
45	390	8100
46	397	8057
47	411	8159
48	422	8194
49	429	8153
50	439	8169
51	445	8126
52	455	8137
53	462	8095
54	471	8107
55	478	8063
56	488	8084
57	495	8052
58	507	8096
59	518	8120
60	527	8113
61	538	8145
62	545	8107
63	556	8138
64	564	8125
65	571	8094
66	578	8059
67	587	8049
68	593	8014
69	603	8017
70	613	8032
71	621	8008
72	630	8011
73	638	7991
74	648	8001
75	655	7969
76	664	7965
77	671	7937
78	681	7947
79	688	7915
80	699	7932
81	706	7911
82	717	7928
83	724	7899
84	733	7900
85	739	7858
86	749	7870
87	754	7816
88	764	7821
89	772	7808
90	783	7824
91	790	7797
92	800	7811
93	814	7854
94	821	7827
95	831	7828
96	837	7801
97	848	7806
98	854	7778
99	864	7781
100	871	7755
101	879	7746
102	886	7717
103	894	7708
104	901	7683
105	910	7680
106	917	7660
107	928	7666
108	934	7640
109	945	7651
110	951	7623
111	962	7627
112	968	7602
113	978	7606
114	985	7582
115	995	7585
116	1002	7562
117	1012	7568
118	1019	7545
119	1030	7556
120	1036	7533
121	1046	7534
122	1053	7511
123	1063	7509
124	1069	7487
125	1080	7493
126	1093	7518
127	1100	7499
128	1111	7503
129	1117	7480
130	1127	7478
131	1133	7455
132	1143	7456
133	1150	7434
134	1159	7426
135	1165	7404
136	1175	7405
137	1182	7387
138	1194	7401
139	1206	7411
140	1213	7390
141	1222	7389
142	1229	7369
143	1240	7375
144	1247	7355
145	1258	7358
146	1264	7337
147	1275	7340
148	1281	7321
149	1291	7320
150	1298	7301
151	1307	7295
152	1314	7276
153	1323	7271
154	1329	7250
155	1339	7245
156	1345	7226
157	1355	7223
158	1362	7204
159	1371	7201
160	1378	7185
161	1388	7182
162	1394	7163
163	1404	7159
164	1411	7140
165	1420	7137
166	1427	7118
167	1436	7114
168	1443	7097
169	1453	7095
170	1459	7077
171	1469	7073
172	1476	7055
173	1485	7054
174	1492	7035
175	1502	7032
176	1508	7014
177	1518	7010
178	1524	6991
179	1534	6989
180	1540	6971
181	1550	6966
182	1556	6947
183	1566	6945
184	1572	6927
185	1581	6922
186	1588	6905
187	1597	6898
188	1603	6881
189	1611	6871
190	1618	6856
191	1625	6840
192	1638	6850
193	1649	6853
194	1655	6835
195	1665	6833
196	1672	6816
197	1682	6813
198	1688	6796
199	1698	6794
200	1705	6778
201	1715	6775
202	1721	6758
203	1731	6755
204	1737	6739
205	1747	6736
206	1754	6720
207	1764	6719
208	1771	6703
209	1780	6699
210	1789	6690
211	1798	6684
212	1804	6668
213	1814	6664
214	1821	6648
215	1830	6643
216	1837	6628
217	1846	6624
218	1853	6608
219	1863	6605
220	1869	6589
221	1879	6586
222	1885	6570
223	1895	6566
224	1901	6551
225	1911	6546
226	1918	6531
227	1928	6528
228	1934	6512
229	1944	6509
230	1950	6494
231	1960	6491
232	1967	6478
233	1978	6477
234	1985	6463
